lambda,data_seed,best_val_loss,best_gap1,best_gap2
penalty,5,100,tensor(0.9358),2.905726432800293e-07,2.905726432800293e-07
penalty,6,0.01,tensor(0.5909),0.7976994514465332,0.017498493194580078
penalty,6,0.1,tensor(0.6447),0.0017582830041646957,0.0017310678958892822
penalty,6,1,tensor(0.6899),0.003186222165822983,0.0010194964706897736
penalty,6,5,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,6,10,tensor(0.9358),0.0,3.725290298461914e-09
penalty,6,25,tensor(0.9358),0.0,1.4901161193847656e-08
penalty,6,100,tensor(0.9358),1.6391277313232422e-06,1.080334186553955e-06
penalty,7,0.01,tensor(0.5800),0.8657386898994446,0.02266794443130493
penalty,7,0.1,tensor(0.6635),1.8324702978134155e-05,0.00647369772195816
penalty,7,1,tensor(0.7137),0.00373975932598114,0.006040401756763458
penalty,7,5,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,7,10,tensor(0.9358),7.450580596923828e-09,0.0
penalty,7,25,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,7,100,tensor(0.9358),3.0547380447387695e-07,3.0547380447387695e-07
penalty,8,0.01,tensor(0.7173),0.24291884899139404,0.29720044136047363
penalty,8,0.1,tensor(0.6692),0.00036096759140491486,0.0028387513011693954
penalty,8,1,tensor(0.9358),1.1175870895385742e-08,1.4901161193847656e-08
penalty,8,5,tensor(0.9358),1.862645149230957e-08,7.450580596923828e-09
penalty,8,10,tensor(0.9358),1.1175870895385742e-08,0.0
penalty,8,25,tensor(0.9358),2.2351741790771484e-08,3.725290298461914e-09
penalty,8,100,tensor(0.9358),0.0,0.0
penalty,9,0.01,tensor(0.5224),0.8457960486412048,0.20466840267181396
penalty,9,0.1,tensor(0.6554),0.015674715861678123,0.006449583917856216
penalty,9,1,tensor(0.9358),7.450580596923828e-09,0.0
penalty,9,5,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,9,10,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,9,25,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,9,100,tensor(0.9358),1.862645149230957e-08,1.4901161193847656e-08
penalty,10,0.01,tensor(0.6059),0.8093640208244324,0.008487343788146973
penalty,10,0.1,tensor(0.6759),0.003061896190047264,0.01718083769083023
penalty,10,1,tensor(0.7312),0.003177378326654434,0.016616296023130417
penalty,10,5,tensor(0.9358),7.450580596923828e-09,0.0
penalty,10,10,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,10,25,tensor(0.9358),1.1175870895385742e-08,1.4901161193847656e-08
penalty,10,100,tensor(0.9358),8.568167686462402e-08,0.0
penalty,11,0.01,tensor(0.5971),0.6925498247146606,0.19015473127365112
penalty,11,0.1,tensor(0.6200),0.01893383264541626,0.004613757133483887
penalty,11,1,tensor(0.9358),0.0,7.450580596923828e-09
penalty,11,5,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,11,10,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,11,25,tensor(0.9358),2.6673078536987305e-06,2.8312206268310547e-07
penalty,11,100,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,12,0.01,tensor(0.6539),0.6636459827423096,0.0007038936018943787
penalty,12,0.1,tensor(0.7065),0.017060313373804092,0.0064900945872068405
penalty,12,1,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,12,5,tensor(0.9358),3.725290298461914e-09,1.4901161193847656e-08
penalty,12,10,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,12,25,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,12,100,tensor(0.9358),1.4901161193847656e-08,1.4901161193847656e-08
penalty,13,0.01,tensor(0.6852),0.46759307384490967,0.25097572803497314
penalty,13,0.1,tensor(0.5532),0.011784136295318604,0.0019658803939819336
penalty,13,1,tensor(0.7235),0.01024654507637024,0.00395713746547699
penalty,13,5,tensor(0.9358),3.725290298461914e-09,1.1175870895385742e-08
penalty,13,10,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,13,25,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,13,100,tensor(0.9358),1.4901161193847656e-08,1.4901161193847656e-08
penalty,14,0.01,tensor(0.6051),0.9264616370201111,0.16550827026367188
penalty,14,0.1,tensor(0.6730),0.0034606866538524628,0.002540869638323784
penalty,14,1,tensor(0.7752),0.0042124465107917786,0.012632325291633606
penalty,14,5,tensor(0.9358),3.725290298461914e-09,2.2351741790771484e-08
